Signé,Nom luminaire,Artiste / Dates,Année,Catégorie,Editeur,Spécialité,Collaboration / Œuvre,Description,Matériaux,Dimensions,Estimation,Image luminaire (Nom du fichier),Image designer (imagedesigner),Lien site marchand,Etiquette,Bibliographie
Non,,Robinson Ferreux ( - ).,,,,Artiste parisien.,,,,,,luminaire_9075.jpg,,,,
Non,,Robinson Ferreux ( - ).,,,,Artiste parisien.,,,,,,luminaire_9076.jpg,,,,
Non,,Rodolfo Bonetto (1929 - 1991).,,,,Designer italien.,"Luci, lguzzini",,,,,luminaire_5375.jpg,,,,
Non,,Rodolfo Bonetto (1929 - 1991).,,,,Designer italien.,"Luci, lguzzini",,,,,luminaire_5376.jpg,,,,
Non,,Rodolfo Bonetto (1929 - 1991).,,,,Designer italien.,"Luci, lguzzini",,,,,luminaire_5378.jpg,,,,
Non,Ala,Rodolfo Bonetto (1929 - 1991).,,,,Designer italien.,"Luci, lguzzini",,,,,luminaire_5374.jpg,,,,
Non,Sistema Flu,Rodolfo Bonetto (1929 - 1991).,,,,Designer italien.,"Luci, lguzzini",,,,,luminaire_5377.jpg,,,,
Non,,Rodolfo Dordoni (1954 - ).,,,,Designer italien.,"Foscarini, Flos, Fontana Arte, Artemide",,,,,luminaire_5241.jpg,,,,
Non,,Rodolfo Dordoni (1954 - ).,,,,Designer italien.,"Foscarini, Flos, Fontana Arte, Artemide",,,,,luminaire_5244.jpg,,,,
Non,,Rodolfo Dordoni (1954 - ).,,,,Designer italien.,"Foscarini, Flos, Fontana Arte, Artemide",,,,,luminaire_5245.jpg,,,,
Non,Modèle 2748,Rodolfo Dordoni (1954 - ).,1984,,,Designer italien.,"Foscarini, Flos, Fontana Arte, Artemide",,,,,luminaire_5239.jpg,,,,
Non,Oci,Rodolfo Dordoni (1954 - ).,,,,Designer italien.,"Foscarini, Flos, Fontana Arte, Artemide",,,,,luminaire_5240.jpg,,,,
Non,Piccola,Rodolfo Dordoni (1954 - ).,,,,Designer italien.,"Foscarini, Flos, Fontana Arte, Artemide",,,,,luminaire_5243.jpg,,,,
Non,Fertilité,Rogan Gregory (1972 - ).,2018,,,Designer américain.,,,,,,luminaire_7600.jpg,,,,
Non,Fertilité,Rogan Gregory (1972 - ).,2017,,,Designer américain.,,,,,,luminaire_7602.jpg,,,,
Non,Fertilité,Rogan Gregory (1972 - ).,2019,,,Designer américain.,,,,,,luminaire_7603.jpg,,,,
Non,Fertilité,Rogan Gregory (1972 - ).,2016,,,Designer américain.,,,,,,luminaire_7605.jpg,,,,
Non,Gypsum,Rogan Gregory (1972 - ).,,,,Designer américain.,,,,,,luminaire_7601.jpg,,,,
Non,Ovorepository,Rogan Gregory (1972 - ).,2020,,,Designer américain.,,,,,,luminaire_7604.jpg,,,,
Non,1025,Roger Comparet (?-?).,1965,,,Designer français.,Disderot,,,,,luminaire_2479.jpg,,,,
Non,,Roger Fatus (1926 - ).,,,,Designer français.,Sentou et Disderot,,,,,luminaire_3417.jpg,,,,
Non,1021,Roger Fatus (1926 - ).,1960,,,Designer français.,Sentou et Disderot,,,,,luminaire_3418.jpg,,,,
Non,RF503,Roger Fatus (1926 - ).,,,,Designer français.,Sentou et Disderot,,,,,luminaire_3416.jpg,,,,
Non,Cobra - Ca,Roger Lecal (?-?).,1970,,,Designer français.,Edition Charbrières,,,,,luminaire_4444.jpg,,,,
Non,Rouge à lèvre - Ca,Roger Lecal (?-?).,1970,,,Designer français.,Edition Charbrières,,,,,luminaire_4443.jpg,,,,
Non,,Roger Rougier (?-?).,,,,Designer français ou canadien ?,Maison Rougier,,,,,luminaire_3822.jpg,,,,
Non,,Roger Rougier (?-?).,,,,Designer français ou canadien ?,Maison Rougier,,,,,luminaire_3824.jpg,,,,
Non,,Roger Rougier (?-?).,,,,Designer français ou canadien ?,Maison Rougier,,,,,luminaire_3825.jpg,,,,
